,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46403|PAX5,0.002703096990353927,Mus musculus,PAX5,tf,CH12,Lymphoblastoid,Blood,1.0,PAX5
38467|HSF1,0.0027052500015218232,Mus musculus,HSF1,tf,,Striatal Cell,,1.0,HSF1
9103|TEAD4,0.0027341051327896045,Mus musculus,TEAD4,tf,TSC,Trophoblast Stem Cell,Embryo,0.0,TEAD4
50584|IRF7,0.002753739097312448,Mus musculus,IRF7,tf,,Myeloid Cell,Bone Marrow,0.0,IRF7
41940|HIRA,0.0027617745363831005,Mus musculus,HIRA,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,HIRA
22|CREB1,0.002777908927901659,Mus musculus,CREB1,tf,,Cortical Neuron,Neuric,1.0,CREB1
33650|H2AFX,0.002784533839968903,Mus musculus,H2AFX,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AFX
38063|BIRA,0.002813406837862113,Mus musculus,BIRA,not sure,,Embryonic Stem Cell,Embryo,1.0,BIRA
9270|CTCFL,0.0028674213286282164,Mus musculus,CTCFL,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,CTCFL
485|MYB,0.0028947777452330405,Mus musculus,MYB,tf,ERMYB,Myeloid Progenitor Cell,Bone Marrow,1.0,MYB
9157|NKX3-1,0.002895540993597235,Mus musculus,NKX3-1,tf,,Epithelium,Prostate,0.0,NKX3-1
32928|SMC5,0.0029223692623910765,Mus musculus,SMC5,predicted chromatin regulator,,B Lymphocyte,Spleen,1.0,SMC5
33909|GLI1,0.0029470938405668557,Mus musculus,GLI1,tf,,,Embryo,1.0,GLI1
37839|PER2,0.002995534894698513,Mus musculus,PER2,predicted transcription factor,,Epithelium,Liver,0.0,PER2
35820|SUPT6H,0.002996322046850525,Mus musculus,SUPT6H,tf,C2C12,Myoblast,Muscle,1.0,SUPT6H
39315|TFE3,0.002997109385367066,Mus musculus,TFE3,tf,,Embryonic Stem Cell,Embryo,1.0,TFE3
55487|ISL1,0.0030224028477244982,Mus musculus,ISL1,tf,,,Sinoatrial node ,1.0,ISL1
42004|SMAD1,0.003052688486862291,Mus musculus,SMAD1,predicted transcription factor,,,,1.0,SMAD1
52736|RAD23B,0.003068737839382579,Mus musculus,RAD23B,predicted transcription factor,,Embryonic Stem Cell,Embryo,1.0,RAD23B
51105|CHD8,0.003073567441169025,Mus musculus,CHD8,cr,,Cortex,Frontal,1.0,CHD8
