,0,TF
56408|TGIF2,0.007440952347606564,TGIF2
48620|NFYC,0.007447995969048348,NFYC
39306|NCAPD3,0.007688423357516648,NCAPD3
33909|GLI1,0.007895504493194212,GLI1
58298|RFX2,0.008192214679255756,RFX2
55310|TRIM63,0.00842892325157044,TRIM63
53798|BATF3,0.009520698315463058,BATF3
34121|CXXC1,0.010321193144283789,CXXC1
44788|ATF7,0.012578316179706768,ATF7
34594|USF1,0.01267776956542504,USF1
58557|PDX1,0.012784902778446707,PDX1
47569|PPARGC1A,0.013439343905613946,PPARGC1A
4587|STAT4,0.013992721937264207,STAT4
33994|TET2,0.014080008472461988,TET2
44270|MAX,0.014243038401065859,MAX
1594|LMO2,0.014362246505488336,LMO2
36913|NFIB,0.014624098429563824,NFIB
39702|IRF3,0.014946452972560142,IRF3
38310|SIX2,0.015621314586899774,SIX2
4513|RFX1,0.017720667915712942,RFX1
59294|CEBPG,0.018109830689853307,CEBPG
41427|ZNF322A,0.018144293772364612,ZNF322A
41315|KDM4B,0.019104296851173284,KDM4B
46424|MAFK,0.020101955237028804,MAFK
50217|FOXK1,0.020596884426446124,FOXK1
44790|FOSL2,0.021713600639554007,FOSL2
5471|IKZF3,0.021902433448076797,IKZF3
44628|TEAD2,0.025081672690573972,TEAD2
39103|MZF1,0.02621094095781942,MZF1
46468|USF2,0.026799336944985774,USF2
47615|MSL1,0.02790336027632057,MSL1
41868|TLE,0.0289821303091411,TLE
54551|ONECUT1,0.02928091595470817,ONECUT1
46470|NELFE,0.029920860870795426,NELFE
40294|NKX6-1,0.03035987671670575,NKX6-1
8567|HOXB4,0.03437337760136207,HOXB4
57294|TEC,0.03460502299860006,TEC
36772|ZNF143,0.03706428403040738,ZNF143
48619|NFYB,0.0380440655739112,NFYB
34590|THRA,0.03958910869364,THRA
3294|GTF2E2,0.039682201342979485,GTF2E2
46425|HCFC1,0.04350425673163501,HCFC1
34108|H1F0,0.04599023686647377,H1F0
40163|CDK8,0.046577089576585996,CDK8
50445|AUTS2,0.0498902769623991,AUTS2
54346|KCR,0.05486256268433985,KCR
47619|KANSL3,0.055172455401365235,KANSL3
421|NR5A2,0.05666301367551418,NR5A2
47427|INO80,0.05812719624541185,INO80
37004|BACH2,0.05880204242243738,BACH2
2410|NELFB,0.061935341550917844,NELFB
3000|ASH2L,0.06222205155648884,ASH2L
53929|RORA,0.06380488945620184,RORA
39349|MTOR,0.06625975469945246,MTOR
418|MYCN,0.07168709445722707,MYCN
48407|TAF9B,0.0722230628748502,TAF9B
47833|SRC,0.081718860832705,SRC
56061|GABPA,0.08206407546819527,GABPA
46426|ZC3H11A,0.08353071906068624,ZC3H11A
52224|SMAD4,0.08813329211299142,SMAD4
38461|ELF1,0.08984302518351416,ELF1
34641|MYBL1,0.09742500642626187,MYBL1
37690|ELL3,0.09798317738055973,ELL3
9267|ZFPM1,0.09899279397580853,ZFPM1
55631|SOX10,0.10029365542881129,SOX10
34413|MXI1,0.10264065118336077,MXI1
51967|TBX19,0.10494912442856709,TBX19
47457|SOX4,0.11025170871389701,SOX4
46493|CHD1,0.11226321716689368,CHD1
46476|CHD2,0.12368450673655408,CHD2
48099|TNFSF11,0.12483891373620437,TNFSF11
52074|SATB1,0.12862423899106323,SATB1
46401|BHLHE40,0.12900879567868986,BHLHE40
39309|CAPG,0.13109789604599306,CAPG
48959|NUCKS1,0.13235300891163745,NUCKS1
33730|NKX2-1,0.13565523151169953,NKX2-1
46412|NFE2L2,0.14081704335569253,NFE2L2
3244|ERCC3,0.1435777003143593,ERCC3
52828|GRHL2,0.14492557072183826,GRHL2
57122|IKZF2,0.16156075649318402,IKZF2
50096|NR0B1,0.18304142209512367,NR0B1
58831|SUMO2,0.18649057270480782,SUMO2
48059|NSL1,0.19003213616505085,NSL1
9183|PAX7,0.19691695321142097,PAX7
39355|ESRRA,0.20716205128703594,ESRRA
35806|NR6A1,0.2089443820749301,NR6A1
49690|DMRTB1,0.229974251970162,DMRTB1
44787|ATF2,0.31186121403003664,ATF2
53676|DMRT1,0.38659936605660106,DMRT1
46416|ZNF384,0.387172559380964,ZNF384
58496|KAT5,0.3928836178625668,KAT5
48954|REPIN1,0.393552777060394,REPIN1
50391|NFIL3,0.4137105592514884,NFIL3
56412|POU2F1,0.42669640121080266,POU2F1
46411|MAZ,0.4693809151997157,MAZ
40095|JMJD6,0.6561056411306478,JMJD6
438|ZFX,0.6899340858033718,ZFX
49710|FOXL2,0.728920991996445,FOXL2
44266|MITF,0.9016044319621729,MITF
