,0
UP00193|Rhox11,0.0028512337821001415
MS00361|FOXG1,0.002870787670387653
MC00385|Ets1,0.0031444819597542142
M00964|NR1I2,0.0033973097227398335
UP00033|Zfp410,0.0035480859041771627
MC00347|STAT4,0.0035917321635362104
MC00408|Myb,0.003679773965995582
MC00453|STAT5A,0.0037092884910764337
MC00511|Rxrg,0.003788905850098231
MC00186|Nr1d2,0.0038890334940080667
M00141|IKZF1,0.003952663105444255
M00999|AIRE,0.004060982355152778
MA0017|NR2F1,0.004140960586560506
MS00705|Rarg,0.004220903710569355
MS00836|HOXD12,0.004281630999763064
MS00812|ELF3,0.004437043179196938
UP00125|PITX2,0.004459264560705926
UP00192|SIX1,0.004548519670553486
M00750|HMGA1,0.004743068252661631
MS00317|HLF,0.004811690420462976
UP00199|SIX4,0.004831876480087746
MS00169|RFX5,0.0050659074992675
MC00414|Atoh1,0.0053654522644032655
M00632|GATA4,0.005430722211444738
MS00265|MLXIPL,0.00556886087226409
MS00293|ATF4,0.005904568958019569
MC00265|Tcf3,0.005922695164212238
MS00291|Tcf21,0.006030391718860872
MC00364|NFYA,0.006090443515153307
MS00105|MYBL2,0.006420122461280022
MA0130|ZNF354C,0.0064325255588168935
UP00190|NKX2-3,0.0064358292890178605
MS00433|DMBX1,0.00651286467508815
M01466|Obox3,0.0067008016933006185
M01480|Obox5,0.006891152232806185
M00624|DBP,0.007344642912927628
MS00700|Rarb,0.007844530259955726
MS00251|BHLHE41,0.00798387307588337
MC00370|Npas4,0.008498973470064687
MC00250|Nkx3-1,0.008583055406265873
MS00287|TFAP4,0.009047583456060817
MS00295|Atf4,0.009246218154030657
UP00177|Hoxd12,0.009678510738904394
MC00191|Nfya,0.01001097727767545
UP00249|NKX2-5,0.010335107475067298
MC00413|Runx1,0.01037918183211193
MC00273|CEBPA,0.010445175699484516
UP00184|Lhx8,0.010514223124341712
M01081|ZNF628,0.010555042982340867
MC00272|CEBPB,0.01056898776986934
MS00243|Ascl2,0.011325912487693091
MS00612|CUX1,0.0117058520181901
MA0108|TBP,0.012242217382295585
MS00060|HSF4,0.012529633690219647
MA0164|NR2E3,0.01283359057275103
MS00436|DPRX,0.013073422579865069
MS00390|ZNF238,0.013532971281360107
MC00122|Cebpa,0.01367161068269058
MS00088|Meis3,0.013801170958362191
MC00371|JUNB,0.01412612920115093
MC00352|Nr5a2,0.014326205626714989
MS00337|NFIL3,0.014551862366772287
MS00261|ID4,0.014855255829974158
M01450|Obox1,0.01497949725994704
M00979|PAX6,0.015319321617543482
M00405|MEF2A,0.01661248463348762
MS00201|SNAI2,0.017691966138303986
MA0051|IRF2,0.01852920644632807
MS00316|Dbp,0.018562282325610423
MC00312|RUNX1,0.018771154602945924
