,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
39374|ERG,0.2734473224967299,Mus musculus,ERG,other,,Epithelium,Prostate,0.0,ERG
5464|KDM5B,0.2752795635088381,Mus musculus,KDM5B,cr,E14,Embryonic Stem Cell,Embryo,1.0,KDM5B
47291|FEZF2,0.2768764013780725,Mus musculus,FEZF2,tf,,Neurosphere,,1.0,FEZF2
48620|NFYC,0.27835674739792765,Mus musculus,NFYC,tf,E14,Embryonic Stem Cell,Embryo,1.0,NFYC
37900|ETS2,0.28032640496920924,Mus musculus,ETS2,tf,,Dendritic Cell,Bone Marrow,0.0,ETS2
51241|RFX5,0.2811769479250558,Mus musculus,RFX5,tf,,T Lymphocyte,,1.0,RFX5
4410|NFIC,0.28557074533191684,Mus musculus,NFIC,tf,,Fibroblast,Embryo,1.0,NFIC
34590|THRA,0.2871039764364768,Mus musculus,THRA,tf,C17.2,Neural Progenitor Cell,,1.0,THRA
44368|KMT2A,0.2871346807747351,Mus musculus,KMT2A,not sure,C2C12,Myoblast,Muscle,1.0,KMT2A
41977|EHMT2,0.2880872854675556,Mus musculus,EHMT2,cr,,Embryonic Stem Cell,Embryo,1.0,EHMT2
9637|NCOR2,0.28870265957197605,Mus musculus,NCOR2,cr,,Macrophage,Bone Marrow,1.0,NCOR2
35722|ELF5,0.2891029843994021,Mus musculus,ELF5,tf,TSC,Trophoblast Stem Cell,Embryo,1.0,ELF5
3033|MLLT3,0.2900895099275033,Mus musculus,MLLT3,not sure,,Leukemic Blast Cell,Bone Marrow,1.0,MLLT3
48137|VDR,0.2914794747306344,Mus musculus,VDR,tf,IDG-SW3,Osteocytic Cell,Bone,1.0,VDR
40138|MAF,0.29154132297879953,Mus musculus,MAF,tf,,Th0,,1.0,MAF
8567|HOXB4,0.29451720905048306,Mus musculus,HOXB4,tf,,Embryonic Stem Cell,Embryo,1.0,HOXB4
44448|OVOL2,0.29672710207625186,Mus musculus,OVOL2,tf,,Epithelium,,1.0,OVOL2
56415|ZMIZ1,0.2972573558354233,Mus musculus,ZMIZ1,not sure,8946,T Lymphocyte,,1.0,ZMIZ1
5582|SOX6,0.2997271383374754,Mus musculus,SOX6,tf,,Myoblast,Muscle,0.0,SOX6
37400|PR,0.30135787290240845,Mus musculus,PR,predicted transcription factor,,,Uterus,1.0,PR
43319|THRB,0.30192328716990235,Mus musculus,THRB,tf,,,Liver,1.0,THRB
3244|ERCC3,0.30274083694067483,Mus musculus,ERCC3,predicted chromatin regulator,,T Lymphocyte,Blood,1.0,ERCC3
51910|STAT2,0.3050415470003741,Mus musculus,STAT2,predicted transcription factor,,Macrophage,Bone Marrow,1.0,STAT2
43114|PRDM5,0.3073816645697131,Mus musculus,PRDM5,tf,,Embryonic Fibroblast,,1.0,PRDM5
52509|MEF2D,0.3083643268752112,Mus musculus,MEF2D,tf,,,Retina,1.0,MEF2D
41323|CTR9,0.30884030261137063,Mus musculus,CTR9,both predicted transcription factor and chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,CTR9
53728|SMCHD1,0.3127872799470848,Mus musculus,SMCHD1,predicted chromatin regulator,,Neural Stem Cell,,1.0,SMCHD1
41635|POLR3G,0.3144489085840896,Mus musculus,POLR3G,tf,,Epithelium,Liver,1.0,POLR3G
56606|SATB2,0.3151850631094758,Mus musculus,SATB2,tf,,Cortex,Brain,1.0,SATB2
6024|NFYA,0.31550535957846104,Mus musculus,NFYA,tf,,Neural Progenitor Cell,Brain,1.0,NFYA
14|KLF1,0.3158257947209208,Mus musculus,KLF1,predicted transcription factor,,Erythroid Cell,Liver,0.0,KLF1
36726|TOP2A,0.31916649150148696,Mus musculus,TOP2A,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,TOP2A
6022|MAPK8,0.31929527586219725,Mus musculus,MAPK8,not sure,,Neural Progenitor Cell,Embryo,1.0,MAPK8
38310|SIX2,0.3247886005827225,Mus musculus,SIX2,tf,,Neural Progenitor Cell,Kidney,0.0,SIX2
54551|ONECUT1,0.3356264316546542,Mus musculus,ONECUT1,tf,,,Liver,1.0,ONECUT1
44716|ETS1,0.3379294651217539,Mus musculus,ETS1,tf,,Thymocyte,,1.0,ETS1
41638|POLR3GL,0.34730151676148097,Mus musculus,POLR3GL,tf,,Epithelium,Liver,1.0,POLR3GL
50238|SPIB,0.35569291527642394,Mus musculus,SPIB,tf,,Lymphocyte,,1.0,SPIB
55316|TRIM63,0.3573057921598455,Mus musculus,TRIM63,predicted chromatin regulator,,,Small Intestine,0.0,TRIM63
37902|E2F4,0.35818050157368875,Mus musculus,E2F4,tf,,Dendritic Cell,Bone Marrow,1.0,E2F4
44342|KLF5,0.36202450460024893,Mus musculus,KLF5,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,KLF5
