,0,TF
M00712|MYOG,0.0609137048239514,MYOG
M01305|TEF,0.06109862820222167,TEF
M00678|ETV7,0.061833994259181665,ETV7
MS00318|Hlf,0.06499875631768101,Hlf
MS00224|TEAD4,0.06505748424533894,TEAD4
MC00151|SPI1,0.06526340410317133,SPI1
UP00132|Evx2,0.06786684281220914,Evx2
MS00460|GBX2,0.06919901052138755,GBX2
MC00154|Jund,0.07321000940475546,Jund
M00495|BACH1,0.0740519246142934,BACH1
MS00679|ONECUT2,0.0742357591432044,ONECUT2
M01123|NANOG,0.07571294058036375,NANOG
MS00795|Sox11,0.07830127207030271,Sox11
MS00168|PRDM1,0.07962739791082792,PRDM1
MC00281|PBX3,0.08149874539689153,PBX3
UP00187|ALX4,0.0837525895981178,ALX4
MS00343|FOXB1,0.08449252934922538,FOXB1
UP00231|NKX2-2,0.08496097006762629,NKX2-2
MS00506|HOXD11,0.08514853496090029,HOXD11
MC00195|Myf5,0.09013528267467572,Myf5
MS00527|IRX5,0.09101684972803917,IRX5
MS00609|RHOXF1,0.09182225552730774,RHOXF1
MS00730|ZNF435,0.09204088145605802,ZNF435
MS00496|HOXC10,0.0923218475675497,HOXC10
UP00391|HOXA3,0.09281979600539844,HOXA3
MS00093|Pknox2,0.09289440959239198,Pknox2
MC00368|Hsf1,0.09361733894176326,Hsf1
MS00616|UNCX,0.09760972834946606,UNCX
MS00766|SOX4,0.09910029296854161,SOX4
MS00095|TGIF2LX,0.09995324892358165,TGIF2LX
MS00266|MLX,0.10020831259104224,MLX
UP00114|Homez,0.1034396016114281,Homez
MS00667|ONECUT1,0.10817452552662792,ONECUT1
MS00075|MEF2B,0.10957309548779075,MEF2B
MC00304|FOXH1,0.10972453416797566,FOXH1
MS00486|HOXA1,0.10982683551775796,HOXA1
MS00555|MIXL1,0.1126543492575112,MIXL1
MS00192|TBX15,0.11343682250166646,TBX15
UP00261|LHX4,0.11705536065388136,LHX4
MS00289|TFEB,0.1175783649999692,TFEB
UP00197|HOXC9,0.11816171451662506,HOXC9
MC00513|SFPI1,0.12027064629412267,SFPI1
UP00259|HOXB6,0.12156231065112078,HOXB6
MC00402|Hoxc9,0.1236891056341613,Hoxc9
UP00207|HOXB9,0.1241785652298293,HOXB9
MS00469|Gbx2,0.12552991573795388,Gbx2
MS00505|HOXC13,0.12553042726266536,HOXC13
UP00147|Nkx2-6,0.12914304808372964,Nkx2-6
MS00087|Meis2,0.13219168836157252,Meis2
M01295|ATF5,0.13411206792781902,ATF5
MS00586|Otx1,0.1357206493827348,Otx1
M00640|HOXA4,0.13611417588038213,HOXA4
MS00526|IRX2,0.136592683822923,IRX2
MC00231|MEF2C,0.13941655970469,MEF2C
MS00668|Nr2e1,0.14194539335524872,Nr2e1
