,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
33650|H2AFX,0.005243089668674372,Mus musculus,H2AFX,predicted chromatin regulator,,B Lymphocyte,,1.0,H2AFX
34037|GLI3,0.005288059303455717,Mus musculus,GLI3,tf,,Epithelium,Embryo,1.0,GLI3
4561|SPNS1,0.00531158538585208,Mus musculus,SPNS1,tf,,Th2,Blood,1.0,SPNS1
42611|EED,0.005329225007266236,Mus musculus,EED,cr,E36,Embryonic Stem Cell,,1.0,EED
8610|POLR3D,0.00533158048094351,Mus musculus,POLR3D,tf,,Epithelium,Liver,1.0,POLR3D
48776|TP53,0.005345881631871663,Mus musculus,TP53,predicted transcription factor,MEFs,Embryonic Fibroblast,,1.0,TP53
55533|RAG1,0.005346825231664465,Mus musculus,RAG1,cr,R1,Embryonic Stem Cell,Embryo,0.0,RAG1
53433|HNRNPL,0.0053636264082470575,Mus musculus,HNRNPL,predicted transcription factor,,Embryonic Stem Cell,,1.0,HNRNPL
48698|SOX3,0.005398728616936299,Mus musculus,SOX3,predicted transcription factor,,Neural Progenitor Cell,,1.0,SOX3
39605|REL,0.005404522927375421,Mus musculus,REL,tf,,Dendritic Cell,Bone Marrow,1.0,REL
44828|GSK3B,0.005406075112529496,Mus musculus,GSK3B,other,,Embryonic Fibroblast,,1.0,GSK3B
4411|NFIC,0.005420560727282975,Mus musculus,NFIC,tf,,Fibroblast,Embryo,1.0,NFIC
34926|TRIM28,0.005425960798440543,Mus musculus,TRIM28,cr,,Pro-T Lymphocyte,,1.0,TRIM28
51241|RFX5,0.00545543443588048,Mus musculus,RFX5,tf,,T Lymphocyte,,1.0,RFX5
49166|SUV39H2,0.005466171852913426,Mus musculus,SUV39H2,cr,,Neural Progenitor Cell,,1.0,SUV39H2
8336|SOX11,0.005471072547092781,Mus musculus,SOX11,tf,,Neural Progenitor Cell,Embryo,0.0,SOX11
9938|AHR,0.005478474642599984,Mus musculus,AHR,tf,,Dendritic Cell,Bone Marrow,0.0,AHR
53866|HOPX,0.005479209382306505,Mus musculus,HOPX,tf,,,Embryonic Heart,1.0,HOPX
51958|NFATC2,0.0055204691568360165,Mus musculus,NFATC2,tf,,T Lymphocyte,,0.0,NFATC2
53639|NLRP3,0.005550370950678174,Mus musculus,NLRP3,other,,T Lymphocyte,Spleen,1.0,NLRP3
8349|HOXA9,0.0055541549125135425,Mus musculus,HOXA9,tf,,Myeloid Cell,Bone Marrow,1.0,HOXA9
42002|SMAD1,0.005557520927372106,Mus musculus,SMAD1,predicted transcription factor,,,,1.0,SMAD1
4507|RAG2,0.0055699547996275744,Mus musculus,RAG2,cr,,Thymocyte,Thymus,1.0,RAG2
59040|DDX5,0.005570784264319062,Mus musculus,DDX5,predicted chromatin regulator,,Th17,,1.0,DDX5
3229|ELL2,0.005581258126622635,Mus musculus,ELL2,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,ELL2
41895|EGR2,0.005584879408104815,Mus musculus,EGR2,tf,,T Lymphocyte,Spleen,0.0,EGR2
58100|SUMO1,0.005593474860138614,Mus musculus,SUMO1,other,,Dendritic Cell,Bone Marrow,1.0,SUMO1
38467|HSF1,0.005596897950342239,Mus musculus,HSF1,tf,,Striatal Cell,,1.0,HSF1
8860|STAG1,0.0056515796703676124,Mus musculus,STAG1,not sure,,Fibroblast,Embryo,1.0,STAG1
50383|PWP1,0.005661705170109832,Mus musculus,PWP1,not sure,,Embryonic Stem Cell,,1.0,PWP1
48582|HSF2,0.005662191774385927,Mus musculus,HSF2,tf,,Spermatocyte,Testis,0.0,HSF2
44846|BCL11A,0.00567240571276989,Mus musculus,BCL11A,predicted transcription factor,MEL,Erythroid Progenitor Cell,Blood,1.0,BCL11A
39599|RELB,0.005693533446642918,Mus musculus,RELB,tf,,Dendritic Cell,Bone Marrow,0.0,RELB
49082|GM6871,0.005695738856691057,Mus musculus,GM6871,other,ES3,Embryonic Stem Cell,Embryo,0.0,GM6871
