,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
56408|TGIF2,0.8366956844050226,Mus musculus,TGIF2,tf,J1,Embryonic Stem Cell,Embryo,1.0,TGIF2
416|LBR,0.8386700404054903,Mus musculus,LBR,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LBR
58629|DZIP3,0.8423923253449273,Mus musculus,DZIP3,not sure,,Embryonic Stem Cell,,1.0,DZIP3
59179|NR0B2,0.8458287624178831,Mus musculus,NR0B2,tf,,,Liver,1.0,NR0B2
51259|NFATC2,0.8468157904051057,Mus musculus,NFATC2,tf,,Dendritic Cell,,1.0,NFATC2
55947|HNF1B,0.8481868550007217,Mus musculus,HNF1B,tf,IMCD3,,Kidney,1.0,HNF1B
35820|SUPT6H,0.8524917676813301,Mus musculus,SUPT6H,tf,C2C12,Myoblast,Muscle,1.0,SUPT6H
2630|CHD7,0.8539785376038593,Mus musculus,CHD7,cr,R1,Embryonic Stem Cell,Embryo,1.0,CHD7
34441|TET2,0.8585967444854377,Mus musculus,TET2,cr,,Embryonic Stem Cell,Embryo,0.0,TET2
40276|RBPJL,0.8616086472338205,Mus musculus,RBPJL,tf,,,Pancreas,1.0,RBPJL
55097|HRAS,0.8664698163063794,Mus musculus,HRAS,other,,Embryonic Fibroblast,,1.0,HRAS
37690|ELL3,0.8666008068779693,Mus musculus,ELL3,predicted chromatin regulator,,Embryonic Stem Cell,Embryo,1.0,ELL3
46496|NFE2L2,0.8718226945844387,Mus musculus,NFE2L2,tf,MEL,Erythroid Progenitor Cell,Blood,1.0,NFE2L2
35722|ELF5,0.8739342947001414,Mus musculus,ELF5,tf,TSC,Trophoblast Stem Cell,Embryo,1.0,ELF5
48850|GPS2,0.8740312050753469,Mus musculus,GPS2,not sure,3T3-L1,Preadipocyte,Adipose,0.0,GPS2
37756|RBBP5,0.8748909775026652,Mus musculus,RBBP5,cr,CMTi-1,Embryonic Stem Cell,Embryo,1.0,RBBP5
51967|TBX19,0.8785088243181215,Mus musculus,TBX19,tf,AtT-20,,,1.0,TBX19
2907|NELFA,0.8787121137762959,Mus musculus,NELFA,not sure,V6.5,Embryonic Stem Cell,Embryo,1.0,NELFA
46493|CHD1,0.8804091006104651,Mus musculus,CHD1,predicted chromatin regulator,MEL,Erythroid Progenitor Cell,Blood,1.0,CHD1
9267|ZFPM1,0.8843267747877654,Mus musculus,ZFPM1,tf,G1ME,Megakaryocyte,Bone Marrow,1.0,ZFPM1
54378|BCL3,0.8849879409485026,Mus musculus,BCL3,tf,CGR8,Embryonic Stem Cell,Embryo,1.0,BCL3
51910|STAT2,0.8904231984312276,Mus musculus,STAT2,predicted transcription factor,,Macrophage,Bone Marrow,1.0,STAT2
41315|KDM4B,0.892571674199014,Mus musculus,KDM4B,cr,,Embryonic Stem Cell,Embryo,1.0,KDM4B
50212|GTF2B,0.8971144072870396,Mus musculus,GTF2B,tf,,,Heart,0.0,GTF2B
404|DPY30,0.9002295030578065,Mus musculus,DPY30,cr,E14,Embryonic Stem Cell,Embryo,1.0,DPY30
55316|TRIM63,0.9005024709464713,Mus musculus,TRIM63,predicted chromatin regulator,,,Small Intestine,0.0,TRIM63
56517|CBX2,0.9033474568309257,Mus musculus,CBX2,cr,E14Tg2A,Embryonic Stem Cell,,1.0,CBX2
40294|NKX6-1,0.9039076857929452,Mus musculus,NKX6-1,tf,,,Pancreatic Islet,1.0,NKX6-1
38059|KDM5C,0.905521126560722,Mus musculus,KDM5C,cr,,Embryonic Stem Cell,Embryo,1.0,KDM5C
32927|BRDU,0.9128390533620214,Mus musculus,BRDU,other,,B Lymphocyte,Spleen,1.0,BRDU
