,0
UP00092|MYB,0.1560556689355676
MC00111|Bcl6,0.15619316282620907
MC00151|SPI1,0.15927437266559177
MC00348|STAT1,0.16048170260158692
MA0152|NFATC2,0.16489942764596466
UP00218|Dbx2,0.1669244681585323
M01252|E2F6,0.16707288013129762
MS00252|Bhlhb2,0.1696142863679668
MC00325|Gata2,0.1732936160484562
M01312|NKX2-1,0.1748348338577519
MS00507|HOXD11,0.17976664953133245
MS00092|PKNOX2,0.18118338857847038
MS00711|THRB,0.18144849828264176
MS00709|THRA,0.18346836303626565
UP00238|Nkx6-3,0.18858435058972658
MS00045|GATA5,0.18981217184624288
MS00572|NKX3-1,0.18988937913432502
UP00020|ATF1,0.19104283621979629
MS00626|VSX1,0.1959981782208013
MS00152|POU5F1P1,0.1975316966383433
M01067|GFI1,0.20133664260697204
MS00103|MYBL2,0.2068222494124773
MS00717|Tp53,0.20786982377637156
M00456|BPTF,0.20798831376401505
MS00682|RARG,0.21154901924043976
UP00252|HOXC5,0.2120465783312042
MC00190|Irf4,0.21323655402691832
M00133|POU3F1,0.21376835201209182
MS00685|RORA,0.21414459794794566
MC00349|Jun,0.21620770321480962
UP00125|PITX2,0.21662022711882292
UP00048|RARA,0.2177765390520734
MS00162|RFX2,0.2188975704176731
MC00457|ELF1,0.21961114297175063
MS00091|PKNOX1,0.22140123970804063
MC00388|Tal1,0.22312021432997967
UP00187|ALX4,0.22402202050327724
MS00710|THRB,0.22607110114304393
MS00528|ISL2,0.2261702674569527
MC00157|Tead4,0.2345869371165074
MS00580|Nkx3-1,0.23462124221248898
MS00466|GSX2,0.23587247430064615
MA0164|NR2E3,0.2366737811416037
MS00281|SREBF2,0.23977920277261508
M01425|HNF1B,0.24216372649305026
UP00423|Gm5454,0.24328753687494167
MS00401|ZNF306,0.24470782692220183
MA0319|HSF1,0.24561330510440013
MS00361|FOXG1,0.2466840301020281
MS00087|Meis2,0.2558049665074012
MC00281|PBX3,0.25685993860845635
MC00477|ZNF711,0.25956311168084106
MC00413|Runx1,0.2613609035852691
MS00481|HOXA10,0.2615849860083015
MS00713|THRB,0.2617082435125696
MC00169|Usf2,0.2625386662429022
MS00208|TBX21,0.2628938217125841
