,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
36206|MBD4,0.270351712364662,Mus musculus,MBD4,cr,,Embryonic Stem Cell,Embryo,0.0,MBD4
37891|MAFF,0.2703971430217257,Mus musculus,MAFF,tf,,Dendritic Cell,Bone Marrow,0.0,MAFF
35211|NCOA3,0.2737988573071685,Mus musculus,NCOA3,cr,E14,Embryonic Stem Cell,Embryo,1.0,NCOA3
3269|FOXO1,0.27461910471753026,Mus musculus,FOXO1,tf,,Lymphocyte,Spleen,1.0,FOXO1
52258|ETV2,0.2762251579841756,Mus musculus,ETV2,tf,,Embryonic Stem Cell,Embryo,1.0,ETV2
9334|TBP,0.27690161138082026,Mus musculus,TBP,tf,V6.5,Embryonic Stem Cell,Embryo,0.0,TBP
49082|GM6871,0.27759805997962234,Mus musculus,GM6871,other,ES3,Embryonic Stem Cell,Embryo,0.0,GM6871
44033|TBX21,0.278412537408779,Mus musculus,TBX21,tf,,T Lymphocyte,Lymph Node,1.0,TBX21
55168|CREB1,0.2799820728157927,Mus musculus,CREB1,tf,,Macrophage,Bone Marrow,0.0,CREB1
41363|PHF20,0.280290998988475,Mus musculus,PHF20,cr,,Neural Progenitor Cell,,1.0,PHF20
53411|PPARA,0.2819094074292905,Mus musculus,PPARA,tf,,Erythroid Cell,Liver,0.0,PPARA
51138|YAP1,0.28321707389357764,Mus musculus,YAP1,other,,,Heart,1.0,YAP1
41360|WDR5,0.28452052932646976,Mus musculus,WDR5,cr,,Neural Progenitor Cell,,1.0,WDR5
14|KLF1,0.2847076772714709,Mus musculus,KLF1,predicted transcription factor,,Erythroid Cell,Liver,0.0,KLF1
43872|Ubiquitin,0.2861210588779144,Mus musculus,Ubiquitin,other,3T3-L1,Preadipocyte,Adipose,1.0,Ubiquitin
34119|HIST1H1D,0.2864145115395722,Mus musculus,HIST1H1D,cr,,Embryonic Stem Cell,Embryo,0.0,HIST1H1D
37789|PER2,0.28671467238352594,Mus musculus,PER2,predicted transcription factor,,Epithelium,Liver,0.0,PER2
41610|HNF4A,0.2867286622336568,Mus musculus,HNF4A,tf,,,Caput Epididymis,1.0,HNF4A
49165|SUV39H1,0.2897131753983858,Mus musculus,SUV39H1,cr,,Neural Progenitor Cell,,1.0,SUV39H1
56273|AEBP2,0.2898938997272028,Mus musculus,AEBP2,tf,,,Thymus,0.0,AEBP2
4534|SIRT1,0.2903049576000003,Mus musculus,SIRT1,cr,,,Cerebellum,1.0,SIRT1
55531|RAG2,0.29049467380577876,Mus musculus,RAG2,cr,,Thymocyte,,0.0,RAG2
53639|NLRP3,0.2920400071149434,Mus musculus,NLRP3,other,,T Lymphocyte,Spleen,1.0,NLRP3
55621|POU3F3,0.2952715472604061,Mus musculus,POU3F3,tf,,Neural Stem Cell,,1.0,POU3F3
2645|NR1H2,0.2963562108100582,Mus musculus,NR1H2,tf,RAW264.7,Macrophage,Blood,1.0,NR1H2
416|LBR,0.2975288886234069,Mus musculus,LBR,not sure,E14,Embryonic Stem Cell,Embryo,1.0,LBR
35593|CLK1,0.29786048150442435,Mus musculus,CLK1,not sure,,,Liver,1.0,CLK1
44214|NCOA1,0.2984080203843567,Mus musculus,NCOA1,cr,,Epithelium,Hindbrain,1.0,NCOA1
52506|MEF2D,0.300716993685464,Mus musculus,MEF2D,tf,,,Retina,1.0,MEF2D
41635|POLR3G,0.3023380994640379,Mus musculus,POLR3G,tf,,Epithelium,Liver,1.0,POLR3G
35812|DICER1,0.3026358276297562,Mus musculus,DICER1,not sure,,Mesenchymal Stem Cell,,1.0,DICER1
52891|NCOR2,0.30371696830925576,Mus musculus,NCOR2,cr,,Macrophage,Bone,0.0,NCOR2
51887|PRDM16,0.3044842548515533,Mus musculus,PRDM16,tf,,,Adipose,1.0,PRDM16
4397|MAFA,0.31025024690323755,Mus musculus,MAFA,tf,,Epithelium,Pancreatic Islet,0.0,MAFA
